id,name,provinceId,number,provinceName,parties,provinceId_key
36658579-b347-4031-b499-68236ef157f1,กรุงเทพมหานคร เขต 25,10,25,กรุงเทพมหานคร,"[{'code': '46', 'name': 'พรรคประชาชน', 'party': {'code': '46', 'name': 'พรรคประชาชน', 'color': '#ff6412'}, 'totalVotes': 37538, 'percent': 47.953500255493104}, {'code': '37', 'name': 'พรรคภูมิใจไทย', 'party': {'code': '37', 'name': 'พรรคภูมิใจไทย', 'color': '#131c5f'}, 'totalVotes': 13989, 'percent': 17.87046499744507}]",10
48034b34-4463-45ce-92ac-24e7c679f2fb,กรุงเทพมหานคร เขต 26,10,26,กรุงเทพมหานคร,"[{'code': '46', 'name': 'พรรคประชาชน', 'party': {'code': '46', 'name': 'พรรคประชาชน', 'color': '#ff6412'}, 'totalVotes': 42042, 'percent': 49.47048856255295}, {'code': '37', 'name': 'พรรคภูมิใจไทย', 'party': {'code': '37', 'name': 'พรรคภูมิใจไทย', 'color': '#131c5f'}, 'totalVotes': 13939, 'percent': 16.401910947943144}]",10
37d7e708-c26f-40f5-93f5-61f6cbf4eb73,กรุงเทพมหานคร เขต 27,10,27,กรุงเทพมหานคร,"[{'code': '46', 'name': 'พรรคประชาชน', 'party': {'code': '46', 'name': 'พรรคประชาชน', 'color': '#ff6412'}, 'totalVotes': 43607, 'percent': 50.20377619157264}, {'code': '37', 'name': 'พรรคภูมิใจไทย', 'party': {'code': '37', 'name': 'พรรคภูมิใจไทย', 'color': '#131c5f'}, 'totalVotes': 12656, 'percent': 14.570573336403408}]",10
3daa827d-3b41-46a2-85d9-0b1a75e805bf,กรุงเทพมหานคร เขต 28,10,28,กรุงเทพมหานคร,"[{'code': '46', 'name': 'พรรคประชาชน', 'party': {'code': '46', 'name': 'พรรคประชาชน', 'color': '#ff6412'}, 'totalVotes': 37579, 'percent': 51.38586919363881}, {'code': '37', 'name': 'พรรคภูมิใจไทย', 'party': {'code': '37', 'name': 'พรรคภูมิใจไทย', 'color': '#131c5f'}, 'totalVotes': 12057, 'percent': 16.486852360831932}]",10
a7cad0c8-7ae9-4486-a060-f86ac9f968ce,กรุงเทพมหานคร เขต 29,10,29,กรุงเทพมหานคร,"[{'code': '46', 'name': 'พรรคประชาชน', 'party': {'code': '46', 'name': 'พรรคประชาชน', 'color': '#ff6412'}, 'totalVotes': 43249, 'percent': 47.66728020191555}, {'code': '37', 'name': 'พรรคภูมิใจไทย', 'party': {'code': '37', 'name': 'พรรคภูมิใจไทย', 'color': '#131c5f'}, 'totalVotes': 15443, 'percent': 17.02064344049994}]",10
affc8923-2146-4f1c-9f92-ecb299b55659,กรุงเทพมหานคร เขต 30,10,30,กรุงเทพมหานคร,"[{'code': '46', 'name': 'พรรคประชาชน', 'party': {'code': '46', 'name': 'พรรคประชาชน', 'color': '#ff6412'}, 'totalVotes': 47043, 'percent': 50.14924418480694}, {'code': '37', 'name': 'พรรคภูมิใจไทย', 'party': {'code': '37', 'name': 'พรรคภูมิใจไทย', 'color': '#131c5f'}, 'totalVotes': 15448, 'percent': 16.46802976355457}]",10
1f7061f1-ccd4-4063-a758-690fa84a6e2a,กรุงเทพมหานคร เขต 31,10,31,กรุงเทพมหานคร,"[{'code': '46', 'name': 'พรรคประชาชน', 'party': {'code': '46', 'name': 'พรรคประชาชน', 'color': '#ff6412'}, 'totalVotes': 44164, 'percent': 45.53271336371322}, {'code': '37', 'name': 'พรรคภูมิใจไทย', 'party': {'code': '37', 'name': 'พรรคภูมิใจไทย', 'color': '#131c5f'}, 'totalVotes': 18651, 'percent': 19.229024475740765}]",10
0f635960-973f-4bcb-a48e-ee65c94d6fef,กรุงเทพมหานคร เขต 32,10,32,กรุงเทพมหานคร,"[{'code': '46', 'name': 'พรรคประชาชน', 'party': {'code': '46', 'name': 'พรรคประชาชน', 'color': '#ff6412'}, 'totalVotes': 38742, 'percent': 46.512353831008234}, {'code': '37', 'name': 'พรรคภูมิใจไทย', 'party': {'code': '37', 'name': 'พรรคภูมิใจไทย', 'color': '#131c5f'}, 'totalVotes': 15240, 'percent': 18.296636012197755}]",10
a18ae89c-f8d1-480d-85b8-ddb2df19d2b8,กรุงเทพมหานคร เขต 33,10,33,กรุงเทพมหานคร,"[{'code': '46', 'name': 'พรรคประชาชน', 'party': {'code': '46', 'name': 'พรรคประชาชน', 'color': '#ff6412'}, 'totalVotes': 31516, 'percent': 45.957099319013665}, {'code': '37', 'name': 'พรรคภูมิใจไทย', 'party': {'code': '37', 'name': 'พรรคภูมิใจไทย', 'color': '#131c5f'}, 'totalVotes': 13048, 'percent': 19.026787406856528}]",10
30ba695d-0768-4450-81af-90a3465a8da1,สมุทรปราการ เขต 1,11,1,สมุทรปราการ,"[{'code': '46', 'name': 'พรรคประชาชน', 'party': {'code': '46', 'name': 'พรรคประชาชน', 'color': '#ff6412'}, 'totalVotes': 41013, 'percent': 47.7489434529007}, {'code': '9', 'name': 'พรรคเพื่อไทย', 'party': {'code': '9', 'name': 'พรรคเพื่อไทย', 'color': '#fe0000'}, 'totalVotes': 14417, 'percent': 16.784836948296135}]",11
