id,name,provinceId,number,provinceName,referendums,provinceId_key
a33be955-f6c4-47ae-9a55-cd4afe07d5b5,อุบลราชธานี เขต 10,34,10,อุบลราชธานี,"[{'title': 'เห็นชอบ', 'totalVote': 40343, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 27970, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 7620, 'color': '#94a3b8'}]",34
d88579cf-e894-49ee-9784-40d514ade1d0,อุบลราชธานี เขต 11,34,11,อุบลราชธานี,"[{'title': 'เห็นชอบ', 'totalVote': 40563, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 27458, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 7282, 'color': '#94a3b8'}]",34
8ee7880e-1b7b-4f51-b7df-9d42f2e97a12,ยโสธร เขต 1,35,1,ยโสธร,"[{'title': 'เห็นชอบ', 'totalVote': 57375, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 24516, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 7834, 'color': '#94a3b8'}]",35
b951c063-5cb2-4a16-b018-22a63fca4582,ยโสธร เขต 2,35,2,ยโสธร,"[{'title': 'เห็นชอบ', 'totalVote': 50694, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 21285, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 6715, 'color': '#94a3b8'}]",35
06f11388-5da0-4ddb-b857-238c7ccd5408,ยโสธร เขต 3,35,3,ยโสธร,"[{'title': 'เห็นชอบ', 'totalVote': 54395, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 22871, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 6567, 'color': '#94a3b8'}]",35
acbd8869-9f9b-4427-9daf-b7131383497a,ชัยภูมิ เขต 1,36,1,ชัยภูมิ,"[{'title': 'เห็นชอบ', 'totalVote': 10268, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 4119, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 1352, 'color': '#94a3b8'}]",36
66e288ac-0d4e-4854-a5fa-a05a7951d844,ชัยภูมิ เขต 2,36,2,ชัยภูมิ,"[{'title': 'เห็นชอบ', 'totalVote': 47117, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 21016, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 7967, 'color': '#94a3b8'}]",36
b02441c6-527e-4f8f-998b-114870a04c12,ชัยภูมิ เขต 3,36,3,ชัยภูมิ,"[{'title': 'เห็นชอบ', 'totalVote': 41754, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 19991, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 7017, 'color': '#94a3b8'}]",36
d19c561f-4ef3-43c0-be62-6e0899fbe2e2,ชัยภูมิ เขต 4,36,4,ชัยภูมิ,"[{'title': 'เห็นชอบ', 'totalVote': 32989, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 15880, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 4693, 'color': '#94a3b8'}]",36
d1bfed18-5809-44a2-bf15-22a18fb236c4,ชัยภูมิ เขต 5,36,5,ชัยภูมิ,"[{'title': 'เห็นชอบ', 'totalVote': 47018, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 22649, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 6680, 'color': '#94a3b8'}]",36
ab460dfa-d8d6-401c-bc65-aee93d9edd77,ชัยภูมิ เขต 6,36,6,ชัยภูมิ,"[{'title': 'เห็นชอบ', 'totalVote': 47425, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 22177, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 6620, 'color': '#94a3b8'}]",36
a6a1f1fc-8e4a-41b7-9500-a0ccdf815f2c,ชัยภูมิ เขต 7,36,7,ชัยภูมิ,"[{'title': 'เห็นชอบ', 'totalVote': 47537, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 20753, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 5779, 'color': '#94a3b8'}]",36
8974b933-a53e-4653-a063-31aec9d4d148,อำนาจเจริญ เขต 1,37,1,อำนาจเจริญ,"[{'title': 'เห็นชอบ', 'totalVote': 44232, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 30889, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 7792, 'color': '#94a3b8'}]",37
d9af0302-49bb-41f1-b1c8-49daa13a35d5,อำนาจเจริญ เขต 2,37,2,อำนาจเจริญ,"[{'title': 'เห็นชอบ', 'totalVote': 47044, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 31352, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 9130, 'color': '#94a3b8'}]",37
50134a1e-1492-4e17-adf5-de76ad4a5d29,บึงกาฬ เขต 1,38,1,บึงกาฬ,"[{'title': 'เห็นชอบ', 'totalVote': 44834, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 15975, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 5263, 'color': '#94a3b8'}]",38
e65829df-b3d5-400d-beb0-8dfa534db6c0,บึงกาฬ เขต 2,38,2,บึงกาฬ,"[{'title': 'เห็นชอบ', 'totalVote': 44918, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 16744, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 5605, 'color': '#94a3b8'}]",38
26e7d44a-9c31-496b-83d0-b2b77b08bf6a,บึงกาฬ เขต 3,38,3,บึงกาฬ,"[{'title': 'เห็นชอบ', 'totalVote': 45196, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 16656, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 5789, 'color': '#94a3b8'}]",38
00a4c8c9-9cf3-4f11-87c2-154488a1e3b0,หนองบัวลำภู เขต 1,39,1,หนองบัวลำภู,"[{'title': 'เห็นชอบ', 'totalVote': 51646, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 21158, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 7127, 'color': '#94a3b8'}]",39
e0419ec6-24f6-4f95-86be-0fb2f5719093,หนองบัวลำภู เขต 2,39,2,หนองบัวลำภู,"[{'title': 'เห็นชอบ', 'totalVote': 47913, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 18979, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 5499, 'color': '#94a3b8'}]",39
9282ba32-c47e-4444-af8d-699e980f43ff,หนองบัวลำภู เขต 3,39,3,หนองบัวลำภู,"[{'title': 'เห็นชอบ', 'totalVote': 48227, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 18048, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 6020, 'color': '#94a3b8'}]",39
a20846b5-3d5a-4e2e-880a-b808fdcdbb1f,ขอนแก่น เขต 1,40,1,ขอนแก่น,"[{'title': 'เห็นชอบ', 'totalVote': 60523, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 21766, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 5382, 'color': '#94a3b8'}]",40
a6078632-11c6-49cc-8ebc-b71ea9fbe3d9,ขอนแก่น เขต 2,40,2,ขอนแก่น,"[{'title': 'เห็นชอบ', 'totalVote': 61502, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 23321, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 6746, 'color': '#94a3b8'}]",40
aafb27ff-4787-4e42-ba60-3a6b81ee6532,ขอนแก่น เขต 3,40,3,ขอนแก่น,"[{'title': 'เห็นชอบ', 'totalVote': 53397, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 21206, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 6223, 'color': '#94a3b8'}]",40
22df1700-8855-4fc0-b52a-5fe6b16821f0,ขอนแก่น เขต 4,40,4,ขอนแก่น,"[{'title': 'เห็นชอบ', 'totalVote': 56102, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 22286, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 6632, 'color': '#94a3b8'}]",40
8706d873-8de8-4b21-875b-c67e098a8a7c,ขอนแก่น เขต 5,40,5,ขอนแก่น,"[{'title': 'เห็นชอบ', 'totalVote': 48146, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 19374, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 5697, 'color': '#94a3b8'}]",40
08a183b9-59da-44c6-a7bd-efc269bd5c45,ขอนแก่น เขต 6,40,6,ขอนแก่น,"[{'title': 'เห็นชอบ', 'totalVote': 51640, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 21266, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 6454, 'color': '#94a3b8'}]",40
